gps_millis,gnss_sv_id,gnss_id,sv_id,x_sv_m,y_sv_m,z_sv_m,el_sv_deg,az_sv_deg
1303668000000.0,44751,LEO,STARLINK-44751,-28676.380250337395,6468757.526626869,-2546400.4944722806,,
1303668000000.0,44752,LEO,STARLINK-44752,3242474.7963206316,-5174751.554920969,-3192682.0040402845,,
1303668000000.0,44753,LEO,STARLINK-44753,3169726.185323203,-3310990.0294467513,-5223503.513999911,,
1303668000000.0,44758,LEO,STARLINK-44758,1855053471.055956,-743496042.348408,313149773.8171853,,
1303668000000.0,44759,LEO,STARLINK-44759,5.360280985456282e+17,4.4482229743468525e+17,-1.5076825894559082e+17,,
1303668000000.0,44761,LEO,STARLINK-44761,,,,,
1303668000000.0,44765,LEO,STARLINK-44765,-3349333984.893583,-53658186.61605847,-355187319.3942534,,
1303668000000.0,44768,LEO,STARLINK-44768,-4188779.2486716695,5041227.341574752,-2031819.2101884086,,
1303668000000.0,44771,LEO,STARLINK-44771,3002039.398393582,4942144.178863864,3898569.3251425424,,
1303668000000.0,44772,LEO,STARLINK-44772,4320504.865160249,5383737.898660354,1029593.590315374,,
1303668000000.0,44925,LEO,STARLINK-44925,2495434.9443587014,-26459722.969361812,-24111601.41458792,,
1303668000000.0,44927,LEO,STARLINK-44927,-284271.73169142375,-6727701.641504719,-1624036.758861457,,
1303668000000.0,44930,LEO,STARLINK-44930,2822472.3710713964,-4890038.280715884,4009634.5850468357,,
1303668000000.0,44933,LEO,STARLINK-44933,26603002264.403156,-32494518893.228977,-16203352283.994507,,
1303668000000.0,44940,LEO,STARLINK-44940,117599806.40344292,-267869755.86802804,-75901596.13731474,,
1303668000000.0,44941,LEO,STARLINK-44941,-4110075.774993045,2347790.131956376,-5044873.618927546,,
1303668000000.0,44942,LEO,STARLINK-44942,-1.3797850611211492e+16,3420373992614572.5,959683892099892.9,,
1303668000000.0,44949,LEO,STARLINK-44949,5487756.1450049905,235580.29559639696,4237560.200061413,,
1303668000000.0,44961,LEO,STARLINK-44961,4893228.304808976,3865858.9301284505,2996223.372158543,,
1303668000000.0,44968,LEO,STARLINK-44968,-5353059.915673753,3820198.2668164875,-2292506.964779178,,
1303668000000.0,44972,LEO,STARLINK-44972,25523505720714.38,671772467253.4537,-33044838257683.77,,
1303668000000.0,45044,LEO,STARLINK-45044,-6212887.342547207,2536217.6465129526,-1775720.2824786429,,
1303668000000.0,45047,LEO,STARLINK-45047,5292522.547445749,3287534.779349229,-3058439.7253308664,,
1303668000000.0,45048,LEO,STARLINK-45048,315125.376585707,-6432948.999665661,2267450.649708078,,
1303668000000.0,45054,LEO,STARLINK-45054,1329060.0402509356,4250386.550733185,-5327041.043745064,,
1303668000000.0,45057,LEO,STARLINK-45057,6.530268636556718e+17,2.0459784802728883e+18,-1.2122441897398648e+18,,
1303668000000.0,45060,LEO,STARLINK-45060,-2401054.7354340586,6025606.274558433,-2546908.1871744785,,
1303668000000.0,45061,LEO,STARLINK-45061,4097708.3411473455,-1111847.036731627,-5552244.171470145,,
1303668000000.0,45062,LEO,STARLINK-45062,338242700697.06354,-804647626566.4729,35934720088.35595,,
1303668000000.0,45064,LEO,STARLINK-45064,3618630.363678416,4586152.259583916,-1251840.7097765661,,
1303668000000.0,45071,LEO,STARLINK-45071,5933870.636846263,-744211.4298261976,3479194.669969044,,
1303668000000.0,45072,LEO,STARLINK-45072,-166162.76717420868,-4467339.858776759,5307131.805746982,,
1303668000000.0,45074,LEO,STARLINK-45074,-6099310.315980685,1151569.4805269025,3116712.2200294086,,
1303668000000.0,45080,LEO,STARLINK-45080,-2795612.0498835286,3755595.012505371,-5118762.061726495,,
1303668000000.0,45081,LEO,STARLINK-45081,6071598.743271561,2752643.5613636374,-1888212.0745001475,,
1303668000000.0,45083,LEO,STARLINK-45083,-5835229292956745.0,-4397977181849162.0,-2492524769575630.5,,
1303668000000.0,45087,LEO,STARLINK-45087,-2997049.2904063812,4713242.78637737,-4118440.678867768,,
1303668000000.0,45088,LEO,STARLINK-45088,-1381527.5531149637,-4757214.294183267,4865906.087100489,,
1303668000000.0,45093,LEO,STARLINK-45093,-10023258949624.709,12478669320493.63,-4425268794985.62,,
1303668000000.0,45096,LEO,STARLINK-45096,-4509183.469380411,2114483.879019026,-4459482.349576019,,
1303668000000.0,45098,LEO,STARLINK-45098,6188775.222750095,-808832.1747069268,-2506654.347775813,,
1303668000000.0,45100,LEO,STARLINK-45100,89865.680378107,-4235269.764510592,5473369.746705485,,
1303668000000.0,45179,LEO,STARLINK-45179,-3023715.7590354905,3858088.104565368,-111809.32000848395,,
1303668000000.0,45183,LEO,STARLINK-45183,-5924439.437038936,1494331.5420644712,3208266.036463279,,
1303668000000.0,45185,LEO,STARLINK-45185,6246374.932882282,-2782144.2938338085,1117181.5614896864,,
1303668000000.0,45187,LEO,STARLINK-45187,-6217339.08852586,-1512559.6147767168,-2791989.772332923,,
1303668000000.0,45189,LEO,STARLINK-45189,6779990.933753922,-1341894.7809728663,-313225.35012272786,,
1303668000000.0,45190,LEO,STARLINK-45190,-341061559.73756635,-731679105.749892,-742797348.6896538,,
1303668000000.0,45197,LEO,STARLINK-45197,-1768126.5401480154,-4578236.248285432,-4919641.366663967,,
1303668000000.0,45198,LEO,STARLINK-45198,-177750.8660586954,6478814.599124084,2467861.965112887,,
1303668000000.0,45201,LEO,STARLINK-45201,6784937.634757082,633756.5785071244,-1519392.3012230222,,
1303668000000.0,45206,LEO,STARLINK-45206,-15642502.061274191,-35097304.061811335,-46750202.16089368,,
1303668000000.0,45207,LEO,STARLINK-45207,-1469075282466.4595,2358327146417.3438,45557040922.25359,,
1303668000000.0,45212,LEO,STARLINK-45212,988680.0518198209,-1553498.4432614753,980402.1359838324,,
1303668000000.0,45217,LEO,STARLINK-45217,-1586072.7179975759,-4989431.628298493,-4559140.412620972,,
1303668000000.0,45222,LEO,STARLINK-45222,-6015072.763995272,-3511022.5031867297,-101543.3620307297,,
1303668000000.0,45223,LEO,STARLINK-45223,-3553704.3528117742,-2700942.4994873633,-5311790.631004382,,
