gps_millis,gnss_sv_id,gnss_id,sv_id,x_sv_m,y_sv_m,z_sv_m,el_sv_deg,az_sv_deg
1446684173000.0,44751,LEO,STARLINK-44751,2795789.807933452,3503288.080883246,5269759.570780949,,
1446684173000.0,44752,LEO,STARLINK-44752,-3391128.0041378327,5693755.763659515,-1758862.9533672435,,
1446684173000.0,44753,LEO,STARLINK-44753,-1313537.0634665946,-4485240.592722692,-5118282.461472199,,
1446684173000.0,44758,LEO,STARLINK-44758,-1147197.8804142182,6238528.777320398,-2356993.6765985466,,
1446684173000.0,44759,LEO,STARLINK-44759,-4257148.522667744,1913559.8742616964,-4745567.60770537,,
1446684173000.0,44761,LEO,STARLINK-44761,2890838.015444076,4382994.743812585,3835970.442386393,,
1446684173000.0,44765,LEO,STARLINK-44765,-1706009.1716285723,5713296.944810539,3165008.3009271044,,
1446684173000.0,44768,LEO,STARLINK-44768,-4018809.3837465877,3889964.029226374,4075043.773794823,,
1446684173000.0,44771,LEO,STARLINK-44771,-6812215.747950097,381187.70798014826,-1200882.5241261444,,
1446684173000.0,44772,LEO,STARLINK-44772,-4645049.133898725,-1532165.0272253777,-4910273.468484219,,
1446684173000.0,44925,LEO,STARLINK-44925,-4640352.178363927,-1387897.4636748557,4731886.771279823,,
1446684173000.0,44927,LEO,STARLINK-44927,-4028149.2153736753,4784850.046372642,2965525.3676373838,,
1446684173000.0,44930,LEO,STARLINK-44930,1373943.5163382313,5422417.135793373,-4091462.759507678,,
1446684173000.0,44933,LEO,STARLINK-44933,5451433.8633763585,775299.2980240362,-3933587.9210568857,,
1446684173000.0,44940,LEO,STARLINK-44940,3088245.0110159093,3965507.935878059,4191536.3870711345,,
1446684173000.0,44941,LEO,STARLINK-44941,3656778.741945756,-3236435.2165200766,-4919246.513555396,,
1446684173000.0,44942,LEO,STARLINK-44942,-5719927.401772173,411038.89161059936,-3403879.6985651213,,
1446684173000.0,44949,LEO,STARLINK-44949,-3561537.2120574256,-3667414.996620847,4662096.831731659,,
1446684173000.0,44961,LEO,STARLINK-44961,-4528132.165451192,-3284794.7520049233,4073514.3092603157,,
1446684173000.0,44968,LEO,STARLINK-44968,-4533960.054032278,-1118799.2097889767,5103148.465450926,,
1446684173000.0,44972,LEO,STARLINK-44972,3873940.9566645743,2502761.4684015536,4892969.90701128,,
1446684173000.0,45044,LEO,STARLINK-45044,6300840.267181598,1301865.7472825826,-2572256.3989005075,,
1446684173000.0,45047,LEO,STARLINK-45047,-4041318.294581784,1521542.3575225922,5403986.783748255,,
1446684173000.0,45048,LEO,STARLINK-45048,-4955840.414757102,-4235541.436652587,-2131272.387380331,,
1446684173000.0,45054,LEO,STARLINK-45054,2533059.0909135896,-3388505.88291088,-5490190.10116085,,
1446684173000.0,45057,LEO,STARLINK-45057,5389978.894659227,3799445.389737557,-1761310.7309816834,,
1446684173000.0,45060,LEO,STARLINK-45060,-5085147.815326917,-518808.9851326986,4662869.203355407,,
1446684173000.0,45061,LEO,STARLINK-45061,-2517704.518363215,3392064.3406499634,5477621.364609128,,
1446684173000.0,45062,LEO,STARLINK-45062,3934115.3649044693,5426256.403052829,1360686.9553431934,,
1446684173000.0,45064,LEO,STARLINK-45064,-2333464.356915238,3454744.5913224374,5519659.295192915,,
1446684173000.0,45071,LEO,STARLINK-45071,5579953.01530951,-409031.6503146558,-4089418.8749395614,,
1446684173000.0,45072,LEO,STARLINK-45072,4185643.740273514,-2075431.860671583,-5119486.108188945,,
1446684173000.0,45074,LEO,STARLINK-45074,-2067227.3844855276,-4943460.056562156,-4395394.593362037,,
1446684173000.0,45080,LEO,STARLINK-45080,6266836.376236575,2855544.1368449405,-747815.4411049484,,
1446684173000.0,45081,LEO,STARLINK-45081,-104090.44421538593,4484677.643012849,5266461.091584873,,
1446684173000.0,45083,LEO,STARLINK-45083,-6243344.570184082,1404864.982939534,-1873938.4894857665,,
1446684173000.0,45087,LEO,STARLINK-45087,-6060253.823223933,-2600052.8071243474,-2125785.751808421,,
1446684173000.0,45088,LEO,STARLINK-45088,240166.2991760098,4215730.748076499,5479343.284937184,,
1446684173000.0,45093,LEO,STARLINK-45093,3786450.631512481,-5522231.062792814,842007.3201523637,,
1446684173000.0,45096,LEO,STARLINK-45096,-2490179.2859810647,-3612982.2433345737,-5287622.190607837,,
1446684173000.0,45098,LEO,STARLINK-45098,6800798.460217498,1285501.9583782707,243870.89514034687,,
1446684173000.0,45100,LEO,STARLINK-45100,6068136.470826111,2585042.8208629265,2104135.743563008,,
1446684173000.0,45179,LEO,STARLINK-45179,-2576092.5362956836,-3239275.8476317264,5402731.552479092,,
1446684173000.0,45183,LEO,STARLINK-45183,-5548599.556851238,-1795183.4823792966,3726199.2368659996,,
1446684173000.0,45185,LEO,STARLINK-45185,-1672570.85708433,-3878034.304769642,5478424.332053934,,
1446684173000.0,45187,LEO,STARLINK-45187,-6248193.671885062,2478972.054737433,-1677801.6787217837,,
1446684173000.0,45189,LEO,STARLINK-45189,-4909848.072565076,3530487.5895549855,-3384083.246282794,,
1446684173000.0,45190,LEO,STARLINK-45190,3124474.835512701,-5980605.037111829,1059753.0858418832,,
1446684173000.0,45197,LEO,STARLINK-45197,1662816.9396169356,3889559.791194814,-5490710.441199718,,
1446684173000.0,45198,LEO,STARLINK-45198,-2421329.063786001,5036226.3261398785,-4099091.3164804163,,
1446684173000.0,45201,LEO,STARLINK-45201,3828789.1081306706,2343988.89870934,-5281029.120542057,,
1446684173000.0,45206,LEO,STARLINK-45206,-4838712.531039078,4510021.172885286,1777935.2717491318,,
1446684173000.0,45207,LEO,STARLINK-45207,3430764.042222542,4119409.214899139,-4151073.453094782,,
1446684173000.0,45212,LEO,STARLINK-45212,-5717016.0809121225,3868433.6411083206,-198054.12926221397,,
1446684173000.0,45217,LEO,STARLINK-45217,-4283262.998548547,4804112.144718494,-2566644.3468040205,,
1446684173000.0,45222,LEO,STARLINK-45222,2215145.2580629336,3725525.830038241,-5408844.4522627285,,
1446684173000.0,45223,LEO,STARLINK-45223,4553077.017679281,-5215689.208357459,-205173.3208913511,,
1446684173000.0,45225,LEO,STARLINK-45225,-4876110.457775818,137396.9080986512,4906566.651987822,,
1446684173000.0,45227,LEO,STARLINK-45227,4538336.552030876,4621284.861097388,-2181259.883534278,,
1446684173000.0,45228,LEO,STARLINK-45228,4888842.48587496,-147995.84642421184,-4910685.320421811,,
1446684173000.0,45229,LEO,STARLINK-45229,-3773184.054739606,-1897492.0647315946,5478431.35202758,,
