name,norad,epoch_utc,eci_x_km,eci_y_km,eci_z_km,eci_vx_kms,eci_vy_kms,eci_vz_kms,ecef_X_m,ecef_Y_m,ecef_Z_m,lat_deg,lon_deg,alt_km
,44714,2025-11-09T00:38:25Z,5162.43625277516,3230.387763437819,3289.0288085051684,-4.990491779419767,2.991924194223688,4.8769113762613845,5483528.081372276,-2632627.420244104,3302129.9232763005,28.644947684555504,-25.645539945887805,548.0097483213684
,44716,2025-11-09T00:38:25Z,1069.6486301724542,-6432.928610856697,-1175.7626878123835,4.865577380430951,-0.28485943951362686,6.0354039911270085,-4866016.82122308,-4342167.353093352,-1173288.0721328706,-10.26345376723898,-138.25602160879285,248.93390742511622
,44717,2025-11-09T00:38:25Z,-6523.037971083965,666.9586708239436,-1300.4209612087816,0.6945538912222439,-4.830897642114397,-5.98451243480693,-2917761.7149170884,5868441.962977211,-1316819.5761774022,-11.432012746781906,116.43634865565215,307.4522656360771
,44718,2025-11-09T00:38:25Z,-6524.1139623912795,741.3974025238005,2193.9636063879802,-2.40086408125408,-4.565609673672577,-5.5699741194915555,-2860201.7897067987,5916478.6130064875,2177554.0333460374,18.439201029615756,115.80050455459885,546.9357634562692
,44723,2025-11-09T00:38:25Z,-5900.229151173578,-2418.030501270462,-2639.6101890305113,3.9153770979735123,-3.7362175924440564,-5.335422902901929,-5191593.955654966,3691595.3822159003,-2654543.0606234744,-22.748316044805268,144.58444562184985,526.2798524549977
,44724,2025-11-09T00:38:25Z,4457.754571760345,3474.895769540403,3870.8011861051486,-5.751997335390986,2.562070052061005,4.310511092465219,5313137.797150179,-1905041.3427323499,3882134.4917485868,34.68717469435999,-19.725446061753246,479.2688504795237
,44725,2025-11-09T00:38:25Z,-6177.847121863774,-706.2946113742173,3040.590125532449,-1.8973045503239858,-5.320889488989268,-5.072288626640259,-3900431.1510791304,4852407.05673267,3024999.789737267,26.054200283063135,128.7927968975169,547.6558320148152
,44736,2025-11-09T00:38:25Z,-6452.113933082124,-893.4448129066712,-1952.1276349558427,2.354114373768553,-4.524983618458917,-5.710842904424301,-4198265.515849666,4973810.94156423,-1968399.6093903473,-16.926716914777554,130.1668486536305,423.5761849511839
,44741,2025-11-09T00:38:25Z,6401.765678663693,2308.971810063044,-1296.7864011304232,-0.5198472189248564,4.737928880379973,5.902832108070211,5372627.860756267,-4182175.786168039,-1280582.182695923,-10.716595948205445,-37.898001968869565,550.4836211428415
,44744,2025-11-09T00:38:25Z,-3973.7720483116564,-5485.447692920313,-1333.3230355204573,4.439385147171662,-1.788068662941597,-5.905780924592454,-6758028.346450166,427524.01645612257,-1343515.0303835194,-11.290143038417046,176.3801982300778,526.2086391458851
,44747,2025-11-09T00:38:25Z,2849.284734769926,2968.9947033186345,5419.270763638723,-5.184606629267064,5.621686317128891,-0.3537790990612895,4024328.7784254444,-812027.5681475506,5426531.461213209,53.06376866017659,-11.407942330605486,440.0327071411415
,44748,2025-11-09T00:38:25Z,-5484.483976232357,-1841.4835770319648,3796.9932846008305,-1.0251305120134653,-6.088007199410213,-4.419833937504249,-4490967.765751962,3661570.3884944553,3783107.299395118,33.302200848734564,140.80899247925333,548.3747378436152
,44751,2025-11-09T00:38:25Z,-28.598980728826977,5149.503217901922,4621.564908581799,-6.100470854004823,-3.041803743135705,3.3422648873952343,4332127.613715151,2783887.4279173953,4621656.684191021,42.08398128744959,32.725382554766355,550.7530794348644
,44752,2025-11-09T00:38:25Z,-6740.516081216774,1222.4823570868418,-249.62605275240284,-0.6068282353875027,-4.5530501554312925,-6.09162353695953,-2565664.8826709525,6351192.819810476,-266556.33802638523,-2.2424512644309424,111.99702514203179,476.9183709588315
,44753,2025-11-09T00:38:25Z,1371.477102056676,-3985.3440132200535,-5502.555059608248,7.3784938140575616,1.5756857867804754,0.6981069840991042,-2629529.9185745004,-3299418.2662018226,-5499222.31561654,-52.67465700041236,-128.55371504081913,566.5827328150983
,44758,2025-11-09T00:38:25Z,-5735.089290979505,3476.8682626168093,-887.3607394755286,-1.740586593907271,-4.398554679881648,-6.046726166078134,-121853.78066707254,6703685.754631908,-901679.2988415291,-7.707405142480003,91.04135826472756,387.396256669805
